202403250432	3	53.99669	1110000000000000	1	8.11255	1110000000000000	1
202403250602	3	53.99661	1110000000000000	1	8.11265	1110000000000000	1
202403250632	3	53.99650	1110000000000000	1	8.11278	1110000000000000	1
202403250702	3	53.99620	1110000000000000	1	8.11383	1110000000000000	1
202403250732	3	53.99623	1110000000000000	1	8.11476	1110000000000000	1
202403250802	3	53.99640	1110000000000000	1	8.11495	1110000000000000	1
202403250832	3	53.99641	1110000000000000	1	8.11499	1110000000000000	1
202403250932	3	53.99642	1110000000000000	1	8.11501	1110000000000000	1
202403251002	3	53.99643	1110000000000000	1	8.11495	1110000000000000	1
202403251032	3	53.99643	1110000000000000	1	8.11491	1110000000000000	1
202403251102	3	53.99647	1110000000000000	1	8.11486	1110000000000000	1
202403251132	3	53.99645	1110000000000000	1	8.11488	1110000000000000	1
202403251202	3	53.99649	1110000000000000	1	8.11484	1110000000000000	1
202403251232	3	53.99659	1110000000000000	1	8.11480	1110000000000000	1
202403251302	3	53.99668	1110000000000000	1	8.11428	1110000000000000	1
202403251602	3	53.99671	1110000000000000	1	8.11259	1110000000000000	1
202403251632	3	53.99670	1110000000000000	1	8.11257	1110000000000000	1
202403251702	3	53.99668	1110000000000000	1	8.11261	1110000000000000	1
202403251732	3	53.99668	1110000000000000	1	8.11263	1110000000000000	1
202403251802	3	53.99664	1110000000000000	1	8.11267	1110000000000000	1
202403251832	3	53.99661	1110000000000000	1	8.11272	1110000000000000	1
202403251902	3	53.99652	1110000000000000	1	8.11323	1110000000000000	1
202403251932	3	53.99625	1110000000000000	1	8.11450	1110000000000000	1
202403252002	3	53.99638	1110000000000000	1	8.11493	1110000000000000	1
202403252032	3	53.99642	1110000000000000	1	8.11503	1110000000000000	1
202403252102	3	53.99644	1110000000000000	1	8.11510	1110000000000000	1
202403252132	3	53.99645	1110000000000000	1	8.11506	1110000000000000	1
202403252202	3	53.99644	1110000000000000	1	8.11501	1110000000000000	1
202403252232	3	53.99645	1110000000000000	1	8.11493	1110000000000000	1
202403252302	3	53.99642	1110000000000000	1	8.11491	1110000000000000	1
202403252332	3	53.99641	1110000000000000	1	8.11486	1110000000000000	1
